gene_name,log2FoldChange,abs_log2FoldChange,padj,baseMean
SCN2B,-4.138622281028401,4.138622281028401,2.7391442854352602e-121,227.3063887142255
S100B,-4.82797631928129,4.82797631928129,6.3551378005278315e-121,2121.5593698925336
SLC25A27,-3.1336018080134207,3.1336018080134207,1.2924420023650393e-120,420.26588034332383
SNHG26,-2.913964707476899,2.913964707476899,1.1241170184293444e-119,203.7222086594021
RYR3,-2.7262814162343547,2.7262814162343547,1.5685109892328459e-118,340.3344197354402
TGFBR3,-3.635878335643353,3.635878335643353,1.0338341602092771e-117,8751.590785602802
CAPN11,-3.1137786080469447,3.1137786080469447,2.7887269462163313e-117,241.86264762517985
NPY5R,-6.570495392200433,6.570495392200433,5.059186970987863e-117,134.41739187309255
LINC02613,-4.172548973863113,4.172548973863113,1.1316288813037306e-116,456.6479174691719
MPPED2,-2.9229247030712138,2.9229247030712138,2.2027988762455044e-115,317.09820874785555
CBX7,-2.0868897567795583,2.0868897567795583,2.2142361221653652e-115,2618.204650878603
TCEAL5,-4.803767357678697,4.803767357678697,2.5328785017260712e-115,89.84359076316673
ECT2,2.179291807061423,2.179291807061423,1.23803619973789e-100,2482.1868196351975
MIEN1,3.698800554726744,3.698800554726744,1.35763608460721e-96,7292.364888402616
CDC6,3.934749181676733,3.934749181676733,5.2833293025393995e-95,2094.7196184142035
RACGAP1,1.983295140082872,1.983295140082872,1.172723973410649e-90,1937.656742656642
CENPO,1.524555699288125,1.524555699288125,3.1886125101469353e-90,442.38652894336434
SPAG5,2.968986070313056,2.968986070313056,1.3773032440735765e-85,1385.355954849018
NVL,1.504266462018861,1.504266462018861,4.520721922704253e-84,1845.7515861851564
MTHFD2,1.823827474493024,1.823827474493024,2.7043968659766964e-83,3909.888297508597
MTFR2,2.9509756714457227,2.9509756714457227,1.608365180315287e-79,189.5251092224341
PSMD3,3.0512278874364624,3.0512278874364624,1.1808279001508656e-77,22741.724594390427
ERBB2,3.8294498886141377,3.8294498886141377,3.7823715952439654e-77,109088.44138355968
EME1,2.926824603965458,2.926824603965458,1.0512947667300052e-76,173.6583283503074
KPNA2,2.3475246342322276,2.3475246342322276,3.859732822597421e-76,6987.3551435697145
DONSON,1.7302179061596523,1.7302179061596523,4.3609767904974204e-76,740.6127894813006
SEPHS2,1.573564640244441,1.573564640244441,1.5071502325217585e-74,7238.288106250239
SGO2,1.610325571814545,1.610325571814545,1.0357225343344556e-73,589.8790773031454
DNA2,1.9531861394465797,1.9531861394465797,1.554678997761385e-73,422.7880783247821
PGAP3,3.2000807056954814,3.2000807056954814,5.51131305483952e-73,10131.893722681723
POC1A,2.0206362478157933,2.0206362478157933,9.739749767528696e-73,507.6912686472843
PRR11,2.964484205840716,2.964484205840716,2.0688047041585185e-72,1184.051815400667
CCNB1,2.3904296721385228,2.3904296721385228,1.046799936241896e-71,2018.9466963200443
CIP2A,1.91366956736946,1.91366956736946,6.0318227637595956e-71,462.2014985021817
SLC50A1,1.9940848153757047,1.9940848153757047,3.3095748601394995e-70,4175.379133753384
C6orf99,2.924970100796848,2.924970100796848,5.1873418595385585e-70,62.873395043408934
CCNE2,2.590325746683005,2.590325746683005,3.5252732533085547e-69,284.9002751200186
STIL,2.115546297486058,2.115546297486058,7.129217852666877e-69,724.2028063039579
LRRC59,2.076433266619445,2.076433266619445,3.2986979669779614e-68,10438.871804786691
HMGB3,2.458212264010235,2.458212264010235,3.716981031628191e-68,3806.8424523569834
CENPI,2.212484174205065,2.212484174205065,8.352272700609153e-68,258.5346875692275
STARD3,2.824929932231698,2.824929932231698,1.5086663707289925e-66,9208.642911969422
PLK4,1.869760590505005,1.869760590505005,3.4077478023249635e-66,467.69199981616566
CCNE1,2.6172420860385293,2.6172420860385293,1.4714197324185433e-65,311.43380873275055
CDK1,2.887357322348421,2.887357322348421,2.7527812419617437e-65,1881.3814804826095
TRIP13,2.313922557216157,2.313922557216157,2.941064561655172e-65,756.0162232784288
FAM72A,2.6611259806977854,2.6611259806977854,2.4452945930320043e-64,52.62531737430084
KIF11,2.3667110379679137,2.3667110379679137,4.326441870349944e-64,1537.6834673080118
FANCD2,1.7365943591411226,1.7365943591411226,2.2797126426602597e-63,886.2038669895057
NCAPH,2.6577924395494783,2.6577924395494783,2.784620718967233e-63,730.6408709542844
AURKA,2.846431699353104,2.846431699353104,2.910781621649994e-63,1135.1504135290909
ZWINT,2.5105049591908037,2.5105049591908037,6.823416579506904e-63,1851.8149448049105
ERCC6L,2.7486194169011835,2.7486194169011835,8.03663511721336e-63,316.09741482275587
FEN1,1.6230046504504707,1.6230046504504707,8.330108401252891e-63,1668.7909338978625
TTK,2.6921330372224705,2.6921330372224705,1.0539711466036192e-62,618.759440249079
ONECUT2,4.5586410147834755,4.5586410147834755,2.9153183662342035e-62,328.2313981613745
KIF18A,2.3275290041138086,2.3275290041138086,5.20151068700004e-62,335.11333948567227
POLQ,2.4542924201217144,2.4542924201217144,2.5638387652179546e-61,318.6885557683518
CA9,4.98232951167118,4.98232951167118,8.615696680483484e-61,256.9490949916557
EXO1,3.0069143942964818,3.0069143942964818,1.6172467042413655e-60,540.9698817354026
CDC25A,2.1604989324618367,2.1604989324618367,2.1988799399547122e-60,334.0448303883018
MCM10,2.8466075923339975,2.8466075923339975,3.5745428036341924e-60,535.883176555563
