gene_a,gene_b,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
RAD51AP1,NCAPG,0.911,0.0,0.0,0.0,0.785,0.0,0.0,0.607
ESPL1,TOP2A,0.909,0.0,0.0,0.0,0.781,0.133,0.0,0.56
NCAPH,KIF11,0.908,0.0,0.0,0.0,0.853,0.067,0.0,0.385
NCAPH,CDK1,0.907,0.0,0.0,0.0,0.59,0.292,0.4,0.533
KIF23,TPX2,0.906,0.0,0.0,0.0,0.816,0.0,0.0,0.512
ESPL1,PLK4,0.906,0.0,0.0,0.0,0.359,0.619,0.0,0.645
ESPL1,CENPE,0.905,0.0,0.0,0.0,0.6,0.0,0.5,0.566
DTL,CDK1,0.905,0.0,0.0,0.0,0.788,0.292,0.0,0.418
PLK4,TOP2A,0.904,0.0,0.0,0.0,0.793,0.0,0.0,0.553
KIF23,CIT,0.902,0.0,0.0,0.0,0.465,0.328,0.0,0.749
NUF2,UBE2T,0.901,0.0,0.0,0.0,0.801,0.0,0.0,0.521
EXO1,DTL,0.901,0.0,0.0,0.0,0.872,0.0,0.0,0.258
NUF2,EXO1,0.899,0.0,0.0,0.0,0.862,0.0,0.0,0.3
BRIP1,EXO1,0.897,0.0,0.0,0.0,0.4,0.101,0.5,0.664
CENPE,TPX2,0.894,0.0,0.0,0.0,0.804,0.0,0.0,0.48
AURKA,NUF2,0.893,0.0,0.0,0.0,0.674,0.292,0.0,0.574
KIF23,KIF15,0.893,0.0,0.0,0.0,0.699,0.0,0.54,0.291
NCAPH,KIF15,0.892,0.0,0.0,0.0,0.803,0.0,0.0,0.474
NCAPH,TOP2A,0.891,0.0,0.0,0.0,0.642,0.408,0.0,0.528
KIF11,ECT2,0.891,0.0,0.0,0.0,0.823,0.0,0.0,0.41
NCAPH,CCNB1,0.889,0.0,0.0,0.0,0.584,0.0,0.4,0.592
NUF2,CENPI,0.883,0.0,0.0,0.0,0.454,0.078,0.0,0.787
PLK4,ECT2,0.883,0.0,0.0,0.0,0.478,0.292,0.0,0.71
AURKA,RACGAP1,0.883,0.0,0.0,0.0,0.633,0.0,0.0,0.694
BRIP1,DNA2,0.882,0.0,0.0,0.0,0.292,0.0,0.5,0.693
CENPE,CENPI,0.882,0.0,0.0,0.0,0.381,0.114,0.0,0.803
RACGAP1,TOP2A,0.882,0.0,0.0,0.0,0.649,0.0,0.0,0.678
CENPE,ZWINT,0.878,0.0,0.0,0.0,0.488,0.087,0.0,0.76
ZWINT,TOP2A,0.875,0.0,0.0,0.0,0.653,0.0,0.0,0.655
CDC6,KIF11,0.87,0.0,0.0,0.0,0.78,0.0,0.0,0.434
AURKA,CENPE,0.869,0.0,0.0,0.0,0.643,0.128,0.0,0.613
KIF23,ZWINT,0.868,0.0,0.0,0.0,0.638,0.0,0.0,0.649
TPX2,KPNA2,0.867,0.0,0.0,0.0,0.611,0.297,0.0,0.552
CENPE,PLK4,0.866,0.0,0.0,0.0,0.763,0.095,0.0,0.424
CCNB1,SPAG5,0.865,0.0,0.0,0.0,0.787,0.146,0.0,0.318
NCAPG,ECT2,0.865,0.0,0.0,0.0,0.813,0.0,0.0,0.307
RAD51AP1,KIF11,0.864,0.0,0.0,0.0,0.792,0.0,0.0,0.373
NCAPG,RACGAP1,0.864,0.0,0.0,0.0,0.666,0.0,0.0,0.61
NCAPG,CKAP2L,0.864,0.0,0.0,0.0,0.771,0.0,0.0,0.431
TPX2,RACGAP1,0.864,0.0,0.0,0.0,0.6,0.0,0.0,0.674
RAD51AP1,ZWINT,0.861,0.0,0.0,0.0,0.766,0.0,0.0,0.433
SPAG5,KIF15,0.86,0.0,0.0,0.0,0.781,0.104,0.0,0.346
NCAPG,PLK4,0.86,0.0,0.0,0.0,0.796,0.0,0.0,0.342
ESPL1,KNTC1,0.859,0.0,0.0,0.0,0.656,0.0,0.5,0.245
KIF11,STIL,0.858,0.0,0.0,0.0,0.802,0.0,0.0,0.311
KIF11,FANCI,0.856,0.0,0.0,0.0,0.814,0.0,0.0,0.254
KIF15,CDK1,0.856,0.0,0.0,0.0,0.794,0.0,0.0,0.331
CDC6,ESPL1,0.855,0.0,0.0,0.0,0.417,0.087,0.0,0.75
NCAPH,TPX2,0.854,0.0,0.0,0.0,0.622,0.0,0.0,0.629
TPX2,SPAG5,0.854,0.0,0.0,0.0,0.745,0.091,0.0,0.421
KIF11,WDHD1,0.853,0.0,0.0,0.0,0.827,0.096,0.0,0.139
FANCI,CDK1,0.853,0.0,0.0,0.0,0.689,0.0,0.0,0.547
NCAPG,ZWINT,0.852,0.0,0.0,0.0,0.657,0.0,0.0,0.587
NUF2,SGO2,0.852,0.0,0.0,0.0,0.782,0.0,0.0,0.348
CCNB1,UBE2T,0.851,0.0,0.0,0.0,0.79,0.072,0.0,0.296
PLK4,KIF15,0.85,0.0,0.0,0.0,0.651,0.0,0.0,0.587
KIF11,DTL,0.85,0.0,0.0,0.0,0.815,0.0,0.0,0.222
GINS1,ZWINT,0.849,0.0,0.0,0.0,0.768,0.0,0.0,0.376
CDK1,KPNA2,0.848,0.0,0.001,0.0,0.634,0.097,0.0,0.577
ESPL1,ZWINT,0.846,0.0,0.0,0.0,0.349,0.0,0.5,0.566
ECT2,TOP2A,0.845,0.0,0.0,0.0,0.645,0.292,0.0,0.436
CENPE,ECT2,0.844,0.0,0.0,0.0,0.62,0.0,0.0,0.605
RAD51AP1,CDK1,0.844,0.0,0.0,0.0,0.794,0.0,0.0,0.274
CDK1,UBE2T,0.844,0.0,0.0,0.0,0.783,0.091,0.0,0.275
FANCI,EME1,0.843,0.0,0.0,0.0,0.258,0.0,0.5,0.612
KIF18A,CDK1,0.843,0.0,0.001,0.0,0.593,0.096,0.4,0.374
NCAPG,FANCI,0.842,0.0,0.0,0.0,0.793,0.0,0.0,0.27
ESPL1,NUF2,0.841,0.0,0.0,0.0,0.455,0.0,0.5,0.463
CCNB1,KPNA2,0.84,0.0,0.0,0.0,0.718,0.128,0.0,0.402
CCNB1,KIF18A,0.835,0.0,0.0,0.0,0.57,0.069,0.4,0.395
DNA2,EME1,0.834,0.0,0.0,0.0,0.171,0.197,0.5,0.561
FANCI,EXO1,0.834,0.0,0.0,0.0,0.483,0.0,0.0,0.691
CENPE,RACGAP1,0.833,0.0,0.0,0.0,0.531,0.0,0.4,0.456
CENPE,SGO2,0.832,0.0,0.0,0.0,0.67,0.0,0.0,0.512
