gene_name,log2FoldChange,abs_log2FoldChange,padj,baseMean
PRR15,2.2346837600097302,2.2346837600097302,2.885739592698374e-105,2426.475066308464
SPATA17,1.9258869787308568,1.9258869787308568,7.119262743468116e-104,307.28295502036303
SLC44A4,2.301451789175236,2.301451789175236,2.9391793496203866e-103,8688.95371146565
SOX12,1.5103579383014376,1.5103579383014376,6.359863254749565e-103,3141.7995264028737
PRRT3,1.930303195309808,1.930303195309808,6.850241025783228e-103,1060.970575842848
IGFALS,3.3975859626936646,3.3975859626936646,1.0399626619124055e-102,354.97300912554306
RAB26,2.5424602674526096,2.5424602674526096,2.0242491665071157e-102,606.4329790138985
AC007255.1,1.975503748640209,1.975503748640209,5.9118961030963474e-102,88.23788304231023
CFAP99,2.3168302065610193,2.3168302065610193,7.717786182083453e-100,115.84797232614116
LRRC46,2.1286560455388894,2.1286560455388894,3.208697807876995e-97,382.7819201596655
LINC01488,4.417085171048869,4.417085171048869,7.708519143463157e-97,186.085915208196
COX6C,2.634486653033941,2.634486653033941,8.795031726575672e-97,23758.66245007691
CST5,7.063354689216694,7.063354689216694,1.1383083180559605e-96,298.2946778468285
TESMIN,1.9970377091842693,1.9970377091842693,2.3308791784864528e-94,2116.662643220218
CST4,5.784474800151665,5.784474800151665,3.288397118930447e-94,224.9615312978684
HPN,2.2978479983213953,2.2978479983213953,1.0135382442694112e-92,2728.3410526348366
KLHDC9,1.8026828361590268,1.8026828361590268,1.0381369543714751e-92,695.2935466941018
ESR1,2.2762715203044905,2.2762715203044905,1.1839072835449664e-91,35145.792987924484
CA12,1.9971196440644972,1.9971196440644972,6.996498500021639e-91,32026.10126419553
SYT13,4.627083763971721,4.627083763971721,1.12679114058941e-88,3611.369068047716
MLPH,1.6502066195240803,1.6502066195240803,1.8454692885239728e-88,22801.57074027421
AGR3,2.6045497755508396,2.6045497755508396,3.473882713366338e-88,8089.853678254329
CDC20B,6.058933163063032,6.058933163063032,4.000012730877184e-88,356.79767130408936
AC105328.1,4.514788611088968,4.514788611088968,5.483793865560264e-88,109.74240689369242
CD2BP2-DT,1.778002638541311,1.778002638541311,6.114104373356625e-88,323.6136179213382
SIAH2,1.7681073455786935,1.7681073455786935,7.536378074426472e-88,6356.188934211666
NPNT,2.14132825131811,2.14132825131811,7.819150348527654e-87,11974.096563749245
MISP,2.5860283980103227,2.5860283980103227,1.1440099362195692e-86,2602.4670624614987
PRR36,1.9162372967425412,1.9162372967425412,7.261522676134912e-86,1836.1950890574824
RHBDL1,2.395226395169381,2.395226395169381,1.8990024725035945e-85,305.7975711924116
CCDC78,2.7062094970599824,2.7062094970599824,4.732540377567956e-85,420.49917118067407
TMEM145,3.42852768953652,3.42852768953652,2.8680210104949063e-84,276.58473060790834
ZNF552,1.7494553346236323,1.7494553346236323,3.31422223806679e-84,4473.998501370422
FGD3,2.2215912863602276,2.2215912863602276,4.245950082349384e-84,4587.653737572392
CAPSL,4.155565234258276,4.155565234258276,4.719159725919742e-84,86.28040058238032
NUAK2,1.5928251571359742,1.5928251571359742,5.377999529261363e-84,633.9548099266611
ZG16B,1.9693929446650524,1.9693929446650524,1.1173114465864029e-83,5313.1079262685025
AL138878.2,3.690956982305105,3.690956982305105,1.4322082228300952e-83,31.64474982194382
