gene_name,weighted_degree,degree,degree_centrality,betweenness_centrality,closeness_centrality,community_id,log2FoldChange,abs_log2FoldChange,padj
NCAPH,13.015,16,0.16161616161616163,0.0,0.22234672009016562,1,2.516715086711752,2.516715086711752,1.8105003372707969e-118
ECT2,12.078,14,0.14141414141414144,0.0,0.22008863125360942,1,2.1588607268585607,2.1588607268585607,1.6051996374966614e-166
CDC6,11.891,14,0.14141414141414144,0.0022675736961451248,0.22614169523995412,2,3.0419251151035938,3.0419251151035938,3.5555328085390277e-118
FANCI,11.429,14,0.14141414141414144,0.006802721088435374,0.2173863330817364,2,2.125408557871182,2.125408557871182,1.778873229996804e-128
SPAG5,11.017,13,0.13131313131313133,0.0,0.2081311909512597,1,2.839023153485007,2.839023153485007,7.876132681898833e-175
RAD51AP1,9.632,12,0.12121212121212122,0.00041228612657184083,0.212796394409864,2,2.1653979980028915,2.1653979980028915,5.509176688805262e-122
KNTC1,9.543,12,0.12121212121212122,0.0,0.21084899306898539,2,1.5106289406376068,1.5106289406376068,9.333397212240847e-127
DTL,9.472,11,0.11111111111111112,0.00020614306328592042,0.21541920957241395,2,3.0435619160158565,3.0435619160158565,1.3240509921126304e-146
CENPI,8.147,10,0.10101010101010102,0.0006184291898577612,0.19448998725108826,1,2.195274086392966,2.195274086392966,2.4783049623406503e-124
UBE2T,7.389,9,0.09090909090909091,0.00041228612657184083,0.2004581286333923,2,2.7591078803799833,2.7591078803799833,3.4623235316861724e-125
WDHD1,7.36,8,0.08080808080808081,0.0045351473922902496,0.19722790053883654,2,1.5401778790655056,1.5401778790655056,1.7104267161641778e-122
CKAP2L,7.199,9,0.09090909090909091,0.0,0.18837255990413398,1,2.8947948478118173,2.8947948478118173,2.7156564758964458e-118
DNA2,5.221,6,0.06060606060606061,0.0,0.17205792501286224,2,1.8053529776063408,1.8053529776063408,1.5114513714768452e-116
GINS1,5.0,6,0.06060606060606061,0.0006184291898577612,0.18428381338844388,2,2.3791441085317833,2.3791441085317833,8.039542792314926e-119
BRIP1,4.96,6,0.06060606060606061,0.00041228612657184083,0.16809698788725486,2,2.509757476342227,2.509757476342227,1.656003349189447e-121
SGO2,4.806,6,0.06060606060606061,0.0,0.17807382094035776,1,1.6442207326533638,1.6442207326533638,1.8955834676066996e-128
KPNA2,4.789,6,0.06060606060606061,0.0,0.1826243941594604,1,2.2295573058253613,2.2295573058253613,9.016734882181164e-128
EME1,4.75,6,0.06060606060606061,0.0,0.16635823230922456,2,2.8008561225439896,2.8008561225439896,2.3479294501153e-123
TIMELESS,4.301,5,0.05050505050505051,0.00041228612657184083,0.16106219458641363,2,1.865364521313117,1.865364521313117,4.34923699284109e-169
STIL,4.105,5,0.05050505050505051,0.00041228612657184083,0.18427683280688567,3,1.9297349986016197,1.9297349986016197,5.578962916071824e-117
CENPK,4.013,5,0.05050505050505051,0.0,0.17485077142225294,1,2.196572198360293,2.196572198360293,4.1080371831397783e-116
PARPBP,3.6189999999999998,5,0.05050505050505051,0.0,0.17105898206354223,1,1.8137412398441803,1.8137412398441803,2.8624033238381464e-116
CCNE2,3.431,4,0.04040404040404041,0.0,0.18762110754474648,1,2.6580582699186692,2.6580582699186692,2.3588217488227446e-133
ARHGAP11A,3.053,4,0.04040404040404041,0.0,0.17494128261514647,3,2.3047343644038265,2.3047343644038265,7.364500173185008e-126
POLQ,1.589,2,0.020202020202020204,0.0,0.15055492114563976,3,2.5662181274131064,2.5662181274131064,3.2433836729163944e-132
MYH11,0.968,1,0.010101010101010102,0.0,0.009777777777777778,4,-4.569636519414022,4.569636519414022,6.814191505133046e-295
CNN1,0.968,1,0.010101010101010102,0.0,0.009777777777777778,4,-4.229290814294237,4.229290814294237,1.1469354141960979e-228
CAVIN2,0.946,1,0.010101010101010102,0.0,0.009555555555555557,5,-4.807096132067865,4.807096132067865,2.65982381368186e-248
CAV1,0.946,1,0.010101010101010102,0.0,0.009555555555555557,5,-3.7542014186787047,3.7542014186787047,8.674056599158198e-217
CIT,0.902,1,0.010101010101010102,0.0,0.14747347631215982,1,2.0826068956939734,2.0826068956939734,6.2284768566553e-124
SOX10,0.716,1,0.010101010101010102,0.0,0.007232323232323232,6,-6.696798051664334,6.696798051664334,7.2734771272893295e-227
S100B,0.716,1,0.010101010101010102,0.0,0.007232323232323232,6,-5.467180210705443,5.467180210705443,3.081648259263144e-237
ANGPTL7,0.0,0,0.0,0.0,0.0,25,-7.243688865340065,7.243688865340065,2.4853748038744253e-262
KCNJ16,0.0,0,0.0,0.0,0.0,30,-6.983622816979087,6.983622816979087,1.2006640558086198e-250
SFRP1,0.0,0,0.0,0.0,0.0,7,-6.356138636304963,6.356138636304963,0.0
ECRG4,0.0,0,0.0,0.0,0.0,8,-6.012318418073428,6.012318418073428,0.0
SLC6A2,0.0,0,0.0,0.0,0.0,34,-5.814359815058485,5.814359815058485,1.9290301312718983e-246
C10orf90,0.0,0,0.0,0.0,0.0,29,-5.744630987542157,5.744630987542157,8.008820160725237e-253
VEGFD,0.0,0,0.0,0.0,0.0,37,-5.622396587834422,5.622396587834422,5.4848241844284496e-242
CMTM5,0.0,0,0.0,0.0,0.0,38,-5.597391450852556,5.597391450852556,7.570262834157736e-233
HPSE2,0.0,0,0.0,0.0,0.0,43,-5.3387504433794915,5.3387504433794915,1.9237572417455922e-225
CRYAB,0.0,0,0.0,0.0,0.0,16,-5.324718102837116,5.324718102837116,2.577756927928011e-305
MIR145,0.0,0,0.0,0.0,0.0,33,-5.078767818620179,5.078767818620179,5.015401887000147e-248
TNXB,0.0,0,0.0,0.0,0.0,47,-4.921298468818829,4.921298468818829,5.179699975128679e-218
FAT2,0.0,0,0.0,0.0,0.0,48,-4.8999272530849804,4.8999272530849804,8.647665346457537e-217
TSLP,0.0,0,0.0,0.0,0.0,24,-4.876918431839447,4.876918431839447,2.8150462889733604e-266
OSR1,0.0,0,0.0,0.0,0.0,21,-4.855069522709681,4.855069522709681,3.06953243865899e-289
LINC02613,0.0,0,0.0,0.0,0.0,20,-4.795116505953929,4.795116505953929,3.0022105234698614e-290
ITIH5,0.0,0,0.0,0.0,0.0,41,-4.7827649675302695,4.7827649675302695,4.428009300742093e-227
SYNM,0.0,0,0.0,0.0,0.0,9,-4.777310887757487,4.777310887757487,0.0
FAM107A,0.0,0,0.0,0.0,0.0,10,-4.66511044443098,4.66511044443098,0.0
FMO2,0.0,0,0.0,0.0,0.0,46,-4.613294785004768,4.613294785004768,3.889952620040331e-219
NRG2,0.0,0,0.0,0.0,0.0,18,-4.565993020248612,4.565993020248612,1.5313620138427248e-297
ATOH8,0.0,0,0.0,0.0,0.0,26,-4.479238500473909,4.479238500473909,1.01443874388913e-259
NSG1,0.0,0,0.0,0.0,0.0,39,-4.464991812057256,4.464991812057256,1.3240405860270803e-230
PDE1C,0.0,0,0.0,0.0,0.0,11,-4.41158577862944,4.41158577862944,0.0
ADAMTS9-AS2,0.0,0,0.0,0.0,0.0,12,-4.370779615466949,4.370779615466949,0.0
DMD,0.0,0,0.0,0.0,0.0,13,-4.317489233318407,4.317489233318407,0.0
PAMR1,0.0,0,0.0,0.0,0.0,17,-4.297899415115052,4.297899415115052,7.4279186177713695e-301
AL109809.4,0.0,0,0.0,0.0,0.0,44,-4.275629318181372,4.275629318181372,1.1741802038398237e-223
CARMN,0.0,0,0.0,0.0,0.0,14,-4.195883487665748,4.195883487665748,0.0
TRPM3,0.0,0,0.0,0.0,0.0,27,-4.018849372865796,4.018849372865796,9.948143844349901e-258
CX3CL1,0.0,0,0.0,0.0,0.0,32,-3.888165424878826,3.888165424878826,9.186347338333682e-249
C2orf88,0.0,0,0.0,0.0,0.0,19,-3.8120010721023543,3.8120010721023543,3.964708156729023e-296
KCNMB1,0.0,0,0.0,0.0,0.0,22,-3.754554384035312,3.754554384035312,1.4269270504421148e-279
EPHB1,0.0,0,0.0,0.0,0.0,31,-3.700230468066735,3.700230468066735,1.3349065909804788e-250
PPP1R14A,0.0,0,0.0,0.0,0.0,50,-3.6795602257957865,3.6795602257957865,7.513062017625674e-216
GIPC2,0.0,0,0.0,0.0,0.0,28,-3.446573041942907,3.446573041942907,1.5051216320758745e-257
KLHL29,0.0,0,0.0,0.0,0.0,23,-3.4372144452710596,3.4372144452710596,4.2316893639672826e-267
SPRY2,0.0,0,0.0,0.0,0.0,15,-3.306571647983265,3.306571647983265,0.0
SCN4B,0.0,0,0.0,0.0,0.0,35,-3.2907425475871124,3.2907425475871124,1.2753335054470224e-243
TSHZ2,0.0,0,0.0,0.0,0.0,42,-3.172555226598242,3.172555226598242,6.064649551706881e-226
MEF2C-AS1,0.0,0,0.0,0.0,0.0,49,-3.0396365488541233,3.0396365488541233,1.6910129798445275e-216
BOC,0.0,0,0.0,0.0,0.0,36,-2.945955121473218,2.945955121473218,2.807561637487405e-242
AQP1,0.0,0,0.0,0.0,0.0,40,-2.7298837452914166,2.7298837452914166,3.0179879426398166e-227
FAM72A,0.0,0,0.0,0.0,0.0,57,2.6839891492251025,2.6839891492251025,8.381837931903734e-116
CFAP20DC,0.0,0,0.0,0.0,0.0,55,2.5532383443976356,2.5532383443976356,7.2207841302346845e-118
CYYR1,0.0,0,0.0,0.0,0.0,45,-2.460515180849364,2.460515180849364,1.0004087847684412e-222
ZNF367,0.0,0,0.0,0.0,0.0,51,2.031132529866418,2.031132529866418,4.555209174840647e-129
POC1A,0.0,0,0.0,0.0,0.0,54,2.005153947911537,2.005153947911537,4.8801262346865656e-119
FLVCR1,0.0,0,0.0,0.0,0.0,56,1.747986552936272,1.747986552936272,4.099122452027248e-117
POLR3K,0.0,0,0.0,0.0,0.0,53,1.6305629011239808,1.6305629011239808,4.5355535690510134e-122
CERS2,0.0,0,0.0,0.0,0.0,52,1.571048923327392,1.571048923327392,8.244032315757591e-128
