gene_name,log2FoldChange,abs_log2FoldChange,padj,baseMean
AOC3,-4.487994762809369,4.487994762809369,2.7371961424875148e-157,11096.486133648976
ABCA10,-3.898443950961481,3.898443950961481,5.931388434874463e-157,436.972544430667
MYOC,-8.298645880677649,8.298645880677649,1.0724121773307745e-155,509.5583704554353
GSTM5,-4.957119574990018,4.957119574990018,1.089854104746819e-155,935.0565160800008
DSCC1,2.2553068773449274,2.2553068773449274,1.089854104746819e-155,876.047666587236
KIF18A,2.839908601030726,2.839908601030726,1.1535063162859237e-155,628.1434954112722
ORC1,2.970488053074538,2.970488053074538,4.4671690280477575e-155,604.1814323250014
CENPA,3.5942545386953717,3.5942545386953717,4.6487070586057675e-155,715.9736233157482
NUF2,3.6349325723645056,3.6349325723645056,6.4057589865826575e-155,1347.4623840414106
ABCA9,-4.39737648257506,4.39737648257506,1.9100829974741288e-154,1078.3624378035863
CCDC170,-3.252673302617775,3.252673302617775,1.871648870262868e-153,526.49261660634
CCNB1,2.5963598744887686,2.5963598744887686,2.1549132529071746e-153,3145.5401248976
NCAPG,3.221930876490257,3.221930876490257,2.5626801622139665e-153,1211.5144045229938
GPAM,-4.533213756510308,4.533213756510308,3.828083422368106e-153,12416.500461689784
NCAPH,2.949568089928189,2.949568089928189,4.588263327980986e-153,1232.122281123124
DIAPH3,2.9169533994690764,2.9169533994690764,5.195020717246983e-153,849.954802631646
NEK10,-4.21936685124738,4.21936685124738,7.781778854599306e-153,408.9958012546252
POLQ,2.8714671676073733,2.8714671676073733,2.157111147840613e-150,570.702393684864
DBF4,1.7850163173452624,1.7850163173452624,4.4789136780370664e-150,1082.324461763328
CA9,5.952679768386254,5.952679768386254,3.369078020623269e-149,820.5070343765648
ORC6,2.8967901550948536,2.8967901550948536,3.462157184801541e-149,635.2417423845354
KLHDC1,-2.1003186209784523,2.1003186209784523,4.365845824619036e-149,186.80861937058108
CKS1B,1.885999042133434,1.885999042133434,7.399981511502276e-149,2556.882961673317
CENPN,2.046421829490995,2.046421829490995,5.2876467566183545e-148,549.9792996549428
AL591845.1,-3.8541312581582097,3.8541312581582097,3.413602881486428e-147,156.02937654357524
NOVA1,-4.099222607275637,4.099222607275637,7.673910395001449e-146,906.6400310322524
TNS2,-2.3756129132494306,2.3756129132494306,7.712381835923528e-146,6108.710554373768
AVPR2,-3.6519604754546418,3.6519604754546418,1.2744525060271944e-145,150.19893991168087
ADAMTS9-AS2,-3.64580873501312,3.64580873501312,1.6981930209123584e-145,139.52692332284883
CD300LG,-5.933469723008964,5.933469723008964,1.1359116068871615e-144,1651.6906079180644
LINC02884,-4.581640465164322,4.581640465164322,7.725927134598967e-144,330.5885982965673
KLB,-4.881820324082358,4.881820324082358,1.1869537371355181e-142,959.9290396132744
PDGFD,-2.6337014368496754,2.6337014368496754,7.190732375140241e-142,2072.5759265937613
LEP,-7.10200244602009,7.10200244602009,8.261466412209413e-142,7046.601603988733
TNS1,-3.247163414462648,3.247163414462648,5.198685775717569e-140,29527.56443824275
FAXDC2,-2.8372267247924934,2.8372267247924934,2.6459129993912217e-139,2367.650000024541
RAI2,-2.8545227456215314,2.8545227456215314,3.883243700457284e-139,1166.219200973224
FHL1,-5.06232448801141,5.06232448801141,1.2530971391238336e-138,25732.31837744893
ABLIM3,-3.4526135433529914,3.4526135433529914,1.9088014287197144e-136,2217.175610595892
GLYAT,-6.89549208193571,6.89549208193571,2.5946074553045664e-136,484.02316260199314
LIPE,-5.185726016307404,5.185726016307404,2.363177701232968e-135,8150.843214074431
AP001528.1,-3.980565821352529,3.980565821352529,4.466161996158068e-134,189.9814715180416
ITIH5,-4.134827187246636,4.134827187246636,1.636364622795837e-133,7167.580529823448
ASPA,-4.1994381222086545,4.1994381222086545,1.69117143566111e-133,313.70976350016355
