gene_name,weighted_degree,degree,degree_centrality,betweenness_centrality,closeness_centrality,community_id,log2FoldChange,abs_log2FoldChange,padj
AL109809.4,0.0,0,0.0,0.0,0.0,34,-3.0955179466851184,3.0955179466851184,1.4510582554196508e-151
NPR1,0.0,0,0.0,0.0,0.0,26,-3.0733769258215498,3.0733769258215498,3.7331908123082957e-159
SORBS1,0.0,0,0.0,0.0,0.0,32,-3.0640700962048895,3.0640700962048895,1.9960538453436158e-153
ANGPT1,0.0,0,0.0,0.0,0.0,44,-2.9733961811500973,2.9733961811500973,2.244971805699344e-144
PAMR1,0.0,0,0.0,0.0,0.0,38,-2.9619735285851463,2.9619735285851463,1.9239640531581073e-148
RNF150,0.0,0,0.0,0.0,0.0,22,-2.902723945967768,2.902723945967768,1.7724415503876052e-161
EPHB1,0.0,0,0.0,0.0,0.0,20,-2.8868122874947324,2.8868122874947324,5.890318800246735e-169
C2orf88,0.0,0,0.0,0.0,0.0,23,-2.755389620898844,2.755389620898844,4.624190627137677e-160
CCDC78,0.0,0,0.0,0.0,0.0,85,2.7062094970599824,2.7062094970599824,4.732540377567956e-85
LOXL4,0.0,0,0.0,0.0,0.0,40,-2.6649225749868375,2.6649225749868375,1.214115824499678e-147
ZMYND10,0.0,0,0.0,0.0,0.0,47,2.644094690431879,2.644094690431879,2.4853871081411655e-123
COX6C,0.0,0,0.0,0.0,0.0,67,2.634486653033941,2.634486653033941,8.795031726575672e-97
NAALAD2,0.0,0,0.0,0.0,0.0,39,-2.6110109834552286,2.6110109834552286,3.456125054855573e-148
TNS1,0.0,0,0.0,0.0,0.0,18,-2.605197436744765,2.605197436744765,1.1204062753532127e-175
AGR3,0.0,0,0.0,0.0,0.0,76,2.6045497755508396,2.6045497755508396,3.473882713366338e-88
MISP,0.0,0,0.0,0.0,0.0,82,2.5860283980103227,2.5860283980103227,1.1440099362195692e-86
PALMD,0.0,0,0.0,0.0,0.0,36,-2.570924266751449,2.570924266751449,1.307146495332497e-149
DEGS2,0.0,0,0.0,0.0,0.0,51,2.553101624637083,2.553101624637083,4.0300264137092e-110
RAB26,0.0,0,0.0,0.0,0.0,62,2.5424602674526096,2.5424602674526096,2.0242491665071157e-102
MRAS,0.0,0,0.0,0.0,0.0,7,-2.4952434166248425,2.4952434166248425,2.042235853175153e-208
GNAI1,0.0,0,0.0,0.0,0.0,37,-2.4737203395681675,2.4737203395681675,1.2075252232713795e-148
NIPSNAP3B,0.0,0,0.0,0.0,0.0,31,-2.4609336866844775,2.4609336866844775,4.2942587749350565e-154
RYR3,0.0,0,0.0,0.0,0.0,19,-2.4477344932075167,2.4477344932075167,3.201060609873073e-174
RHBDL1,0.0,0,0.0,0.0,0.0,84,2.395226395169381,2.395226395169381,1.8990024725035945e-85
FAM13A,0.0,0,0.0,0.0,0.0,12,-2.335465334904562,2.335465334904562,1.1839931598822144e-189
NDRG2,0.0,0,0.0,0.0,0.0,17,-2.3243047282475504,2.3243047282475504,3.190850463174434e-178
CFAP99,0.0,0,0.0,0.0,0.0,64,2.3168302065610193,2.3168302065610193,7.717786182083453e-100
SLC44A4,0.0,0,0.0,0.0,0.0,58,2.301451789175236,2.301451789175236,2.9391793496203866e-103
HPN,0.0,0,0.0,0.0,0.0,71,2.2978479983213953,2.2978479983213953,1.0135382442694112e-92
SPRY2,0.0,0,0.0,0.0,0.0,28,-2.2540986814915893,2.2540986814915893,6.043808280049866e-156
PRR15,0.0,0,0.0,0.0,0.0,56,2.2346837600097302,2.2346837600097302,2.885739592698374e-105
FGD3,0.0,0,0.0,0.0,0.0,88,2.2215912863602276,2.2215912863602276,4.245950082349384e-84
SIK2,0.0,0,0.0,0.0,0.0,25,-2.181771892489561,2.181771892489561,8.355483060484649e-160
