,library_size,detected_genes,noninteger_entries
TCGA-LL-A5YP-01A,45126615.0,31001,0
TCGA-E2-A153-11A,45194150.0,34552,0
TCGA-E9-A1N6-11A,45239389.0,33993,0
TCGA-AN-A0AK-01A,45326972.0,27142,0
TCGA-A8-A08X-01A,45354684.0,31015,0
TCGA-AR-A5QM-01A,45386491.0,32839,0
TCGA-LL-A5YM-01A,45427308.0,27311,0
TCGA-A2-A04W-01A,45457326.0,29492,0
TCGA-A8-A08O-01A,45474180.0,31705,0
TCGA-AN-A0XR-01A,45484229.0,30486,0
TCGA-A7-A0CH-01A,45519597.0,31786,0
TCGA-LL-A73Z-01A,45648045.0,32441,0
TCGA-E9-A1N6-01A,45703777.0,31338,0
TCGA-C8-A8HR-01A,45763676.0,33353,0
TCGA-OL-A5RU-01A,45776216.0,33054,0
TCGA-AR-A5QQ-01A,45781177.0,29895,0
TCGA-BH-A0GY-01A,45806729.0,31540,0
TCGA-E2-A572-01A,45812002.0,28499,0
TCGA-E2-A1IU-01A,45815160.0,31943,0
TCGA-BH-A0B8-01A,45884867.0,30029,0
TCGA-BH-A18V-11A,45923096.0,31908,0
TCGA-OL-A66K-01A,45958982.0,32632,0
TCGA-A7-A5ZW-01A,46032421.0,31626,0
TCGA-B6-A1KF-01A,46137375.0,30658,0
TCGA-D8-A1XD-01A,46152458.0,32122,0
TCGA-A8-A0AD-01A,46190963.0,29504,0
TCGA-AO-A0JL-01A,46206542.0,31429,0
TCGA-B6-A0I5-01A,46216792.0,30136,0
TCGA-D8-A1JK-01A,46260077.0,31799,0
TCGA-BH-A0HB-01A,46281649.0,29313,0
TCGA-E2-A10C-01A,46372736.0,31941,0
TCGA-BH-A18M-11A,46381718.0,33995,0
TCGA-BH-A0DS-01A,46391340.0,30797,0
TCGA-BH-A0HQ-01A,46417646.0,31713,0
TCGA-D8-A1XC-01A,46428700.0,29397,0
TCGA-HN-A2OB-01A,46437961.0,33414,0
TCGA-OL-A5DA-01A,46438601.0,32569,0
TCGA-BH-A0DZ-11A,46467129.0,31518,0
TCGA-E2-A15O-01A,46478292.0,32667,0
TCGA-BH-A0HK-01A,46505414.0,30062,0
TCGA-D8-A1XV-01A,46516455.0,29258,0
