,library_size,detected_genes,noninteger_entries
TCGA-D8-A1JC-01A,79558166.0,34859,0
TCGA-BH-A28Q-01A,79631256.0,34527,0
TCGA-C8-A3M8-01A,79649201.0,34428,0
TCGA-A2-A04Y-01A,79706479.0,36771,0
TCGA-E2-A1IE-01A,79807159.0,33402,0
TCGA-AN-A0FS-01A,79879549.0,34204,0
TCGA-E2-A14T-01A,80261818.0,32930,0
TCGA-GI-A2C8-11A,80488464.0,28370,0
TCGA-D8-A1JH-01A,80600401.0,35366,0
TCGA-AR-A1AR-01A,80625526.0,33937,0
TCGA-AC-A2B8-01A,80627566.0,35503,0
TCGA-AR-A0TZ-01A,80654525.0,33702,0
TCGA-D8-A1JL-01A,80811517.0,34429,0
TCGA-D8-A1X9-01A,80838929.0,33727,0
TCGA-AO-A0J8-01A,81009599.0,32851,0
TCGA-AR-A24H-01A,81125312.0,35032,0
TCGA-E2-A1BD-01A,81176331.0,33433,0
TCGA-A2-A1G1-01A,81200612.0,34324,0
TCGA-A8-A097-01A,81245332.0,35602,0
TCGA-AR-A24M-01A,81276695.0,33270,0
TCGA-EW-A1J2-01A,81329816.0,35949,0
TCGA-E9-A22A-01A,81338523.0,32927,0
TCGA-A8-A07C-01A,81498528.0,35593,0
TCGA-E9-A22D-01A,81573287.0,33291,0
TCGA-E9-A1RB-01A,81642728.0,34516,0
TCGA-AO-A0J5-01A,81730024.0,33431,0
TCGA-AR-A24L-01A,81827907.0,35070,0
TCGA-E2-A1IN-01A,82273370.0,33651,0
TCGA-BH-A1F2-11A,82293610.0,36027,0
TCGA-C8-A1HI-01A,82576996.0,33351,0
TCGA-E9-A1RC-01A,83040006.0,34988,0
TCGA-D8-A1Y0-01A,83067848.0,35831,0
TCGA-A2-A25F-01A,83298963.0,35022,0
TCGA-E2-A15R-01A,83640615.0,33335,0
TCGA-D8-A142-01A,84230623.0,34141,0
TCGA-E9-A1R3-01A,84502983.0,34350,0
TCGA-D8-A1JD-01A,84622143.0,33014,0
TCGA-AO-A0J4-01A,85104362.0,34909,0
TCGA-AN-A0FZ-01A,85561795.0,33467,0
TCGA-A7-A26H-01A,85977044.0,35712,0
TCGA-D8-A1J9-01A,86114524.0,33963,0
TCGA-D8-A27W-01A,86315072.0,32960,0
TCGA-A8-A06Q-01A,86340706.0,34525,0
TCGA-E9-A1N4-01A,86452583.0,34674,0
TCGA-BH-A202-01A,86517431.0,33732,0
TCGA-BH-A1EX-01A,86546041.0,35580,0
TCGA-BH-A1EV-11A,86691458.0,37626,0
TCGA-A7-A26G-01A,86981112.0,35684,0
TCGA-AR-A24Z-01A,87612553.0,34763,0
TCGA-D8-A1XU-01A,88326654.0,34808,0
TCGA-A8-A06N-01A,88432001.0,33702,0
TCGA-A8-A06Z-01A,88951843.0,32436,0
TCGA-C8-A26V-01A,89476253.0,33563,0
TCGA-A8-A091-01A,89759743.0,35295,0
TCGA-A2-A25A-01A,90737223.0,37204,0
TCGA-C8-A134-01A,90759134.0,34773,0
TCGA-A2-A25C-01A,91034379.0,35588,0
TCGA-E2-A1B6-01A,91869891.0,34807,0
TCGA-E2-A14X-01A,91926121.0,35297,0
TCGA-BH-A1ET-01A,92792900.0,34830,0
TCGA-BH-A0B9-01A,93431860.0,34803,0
TCGA-A7-A26I-01A,94576865.0,50028,0
TCGA-BH-A204-01A,94790457.0,33412,0
TCGA-BH-A1F0-01A,95714241.0,36448,0
TCGA-A8-A096-01A,96373277.0,33514,0
TCGA-A8-A08I-01A,96774371.0,37068,0
TCGA-D8-A27V-01A,97239275.0,34941,0
TCGA-BH-A1EU-01A,98266886.0,37876,0
TCGA-BH-A1EO-11A,99434546.0,31423,0
TCGA-E2-A15M-01A,100608368.0,36793,0
TCGA-E9-A243-01A,103495522.0,36732,0
TCGA-E2-A1B1-01A,103733006.0,37739,0
TCGA-AR-A251-01A,103906260.0,38141,0
TCGA-A8-A09I-01A,104167219.0,34392,0
TCGA-E2-A1B0-01A,114015705.0,33266,0
