gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
AL713852.1,51.22342728300386,-1.6163891996947637,0.17829213588007745,-9.06595903243863,1.2351286077682173e-19,7.780563645723891e-19,True
MEG9,16.561802973289936,-1.6673003846222678,0.183935769078816,-9.064579407107237,1.2508589394397586e-19,7.878167095632957e-19,True
KRT17P6,2.612136711269414,-2.7874023002272845,0.30752158151702796,-9.064086775558359,1.2565237037548013e-19,7.912350641336644e-19,True
MTCYBP21,8.142986741745268,-1.8442506497703546,0.20360256666413976,-9.058091358998471,1.327530429994196e-19,8.3531721339389505e-19,True
AC012409.5,2.2633516192075733,-2.6904328928646697,0.2970426953923989,-9.057394558417126,1.3360359663004908e-19,8.405105346190355e-19,True
XAGE3,4.495352467379453,-4.528162815822948,0.5000662739086534,-9.05512539453941,1.3641096283405622e-19,8.576865006698607e-19,True
LINC02208,7.486436022843761,1.9801163292509198,0.2187730132739818,9.051008164206744,1.4165435754697263e-19,8.899832648519199e-19,True
GATA2-AS1,232.55181949712934,1.5612150533015914,0.17252057127890844,9.049442867758799,1.4369963379616198e-19,9.021534426709725e-19,True
AC138150.1,8.938851855900033,-1.6854399529327546,0.18629424670426312,-9.047192721997169,1.4669098418604184e-19,9.204134772568785e-19,True
SNORD93,2.065543231507813,-2.8445236066008484,0.314542742437432,-9.043361117024256,1.5192697582346707e-19,9.521918279903785e-19,True
NEGR1,1133.7856595201774,-1.5392338098340845,0.17022650418052962,-9.042268812626777,1.5345317841432192e-19,9.613958382376896e-19,True
TMEM26-AS1,6.511288273321842,-2.1913626311892624,0.24240256840474664,-9.04017909385465,1.564153398740894e-19,9.795859473166211e-19,True
CEACAM5,3954.4430007654632,3.863220585561855,0.42737988760545587,9.039313027121816,1.576594805981445e-19,9.870069492148527e-19,True
UNC5A,369.34110205830046,2.0640667827841703,0.2283721807533681,9.038170831381917,1.5931525592345546e-19,9.971102559093598e-19,True
AL023803.2,7.666413048419166,2.4164746390961533,0.2673695845428877,9.037956367503487,1.5962806248565738e-19,9.987685282990971e-19,True
F12,202.8469404454599,1.894126705608675,0.20958974751127776,9.03730610919675,1.6058021213905602e-19,1.0045238904251185e-18,True
LAMA4-AS1,13.722727480596586,-1.6551298291881409,0.18315720151832618,-9.036662579836008,1.6152803378210504e-19,1.009573844055087e-18,True
AC092666.1,5.186220051806554,-2.4447091697867136,0.2705515496207245,-9.036019838784345,1.6248021217824387e-19,1.015116144822085e-18,True
RN7SL262P,4.931879778993487,-1.9459983905624119,0.21551357779845137,-9.029586026279572,1.7232244103493515e-19,1.0749684036801446e-18,True
AL513217.1,4.39208975063488,-1.9396708991019718,0.21492517549532822,-9.02486595454302,1.799154996982848e-19,1.1210766067709454e-18,True
SLC16A3,1498.2811586413652,1.6955334846762447,0.18795539055668678,9.020935657415352,1.8648959931240597e-19,1.1607393892253503e-18,True
PLAC1,34.520470666402964,2.727865451118701,0.3024113007396237,9.02038199117233,1.8743457631512508e-19,1.1664033747962506e-18,True
MRPS30-DT,363.43896225688525,-1.967840167484732,0.2181642533752359,-9.019993592167946,1.8810030359760918e-19,1.1703278031113188e-18,True
RNU5B-3P,3.217159149628834,-3.8929364150872905,0.431653992271348,-9.018650318980713,1.9042077743572288e-19,1.1843234812950248e-18,True
PF4,5.263872154441499,-3.5602262429668037,0.3947684136326404,-9.018518503559514,1.9065000393798377e-19,1.1850382619058478e-18,True
OR5E1P,2.5774544170740357,-3.871067054490923,0.429678089075529,-9.009226099519505,2.0751566042823317e-19,1.2870447758268826e-18,True
IKZF3,1504.6412424653508,1.8056798354537464,0.20046365147243922,9.007517433663033,2.107735577498473e-19,1.3070076938266377e-18,True
SLC6A2,56.12727438404233,-2.094342493600396,0.23254027859442924,-9.006364429678497,2.1300048558522147e-19,1.3205713318054564e-18,True
ADRB3,8.835214844211137,-2.8345682114288118,0.314818231560129,-9.00382483371971,2.1798782297632227e-19,1.3507387418129639e-18,True
TOX3,1182.9920615759636,1.84932246103415,0.20542696804702298,9.002335373079319,2.2096637151807005e-19,1.3684322235387406e-18,True
LRRC38,8.617620062791834,-2.4705457148166965,0.27444170939137796,-9.002078147288762,2.214848152635365e-19,1.3709143886962449e-18,True
AC090515.4,8.60603664488449,-2.2306671733690098,0.24781106158577274,-9.00148346524446,2.2268801476866046e-19,1.3778149544564115e-18,True
MNX1-AS2,15.62688755168214,2.4578935359374867,0.2731065857919027,8.99975930207085,2.262130816227811e-19,1.3991060940352606e-18,True
RBM8B,7.829660794594499,1.6165971738621567,0.17964147997535415,8.999019458556816,2.277425511386638e-19,1.4077824537392587e-18,True
MIA,3.731836134478807,-2.23227140305281,0.24807479085859396,-8.998380671114766,2.2907132516322766e-19,1.4157338070549443e-18,True
SPATA22,13.803863189874935,-2.617848160103451,0.2909654894084774,-8.99710878230076,2.3173989764408022e-19,1.431695784833722e-18,True
AP003031.1,15.53386533097157,-2.67302827872425,0.2971468418234077,-8.995647614228428,2.3484353031397703e-19,1.450332757859411e-18,True
H2BC8,667.0164445844764,2.341766905148714,0.2604600321005712,8.990887723781318,2.4524148058093693e-19,1.5131467411459141e-18,True
LINC01587,16.990299431407443,2.691122115486089,0.2993250815954364,8.99063353175118,2.4580937879883694e-19,1.5160896936494199e-18,True
PNCK,82.46646677877169,2.015237808705427,0.2241483974936986,8.99064116111774,2.4579231489755304e-19,1.5160896936494199e-18,True
AC093627.6,32.38624633944024,-1.9430820202274017,0.216141143806895,-8.989875717338627,2.475101577668881e-19,1.5260152063908211e-18,True
ZSCAN23,52.77619047721935,-1.6522657832499283,0.18380444951334893,-8.989258897837136,2.4890307817709847e-19,1.5343195478979774e-18,True
EZHIP,9.245536860248581,3.6959039941237446,0.41134747156013485,8.98487106315771,2.5903784421380707e-19,1.5947301212269249e-18,True
HNRNPA1P66,6.726048161568729,-3.297347063795933,0.3671031311372863,-8.982072840350734,2.6571282732546557e-19,1.6349182801617992e-18,True
RAB3C,202.08695493998653,-2.0844881892178293,0.23208619119903245,-8.98152612375897,2.670366925007539e-19,1.6427608666680762e-18,True
GABRD,160.63001554183992,2.0473627055888977,0.2280023729518832,8.97956753292636,2.7183310209064965e-19,1.6716507692460031e-18,True
AC104051.2,3.8177267449737093,-2.548903236232133,0.28387182579096437,-8.979063805046568,2.730803845394552e-19,1.6790113834819859e-18,True
AL512328.1,8.168265498984333,1.9034809426476036,0.21200312245933972,8.978551450404575,2.743548282152418e-19,1.6862254268614262e-18,True
PVALB,449.75188189635514,3.599393387830903,0.401063080963311,8.974631569641218,2.8430166845026643e-19,1.745430106985997e-18,True
AC113133.1,3.6497355868843333,-4.019362902282685,0.4478845453492434,-8.97410492060747,2.8566492671658696e-19,1.753476834358818e-18,True
RAB19,161.53946753149634,1.5180936208889515,0.16917748870722155,8.97337838792585,2.8755620060989346e-19,1.7647610846778316e-18,True
GLYATL1,520.680802693938,2.461198308907249,0.2742849757805637,8.97314299444634,2.8817161465396426e-19,1.7682125440837264e-18,True
LINC00659,8.28156582515182,3.5333084627074207,0.39381364611606084,8.972031562527722,2.9109497096911786e-19,1.785493137180267e-18,True
CAMP,101.60497914794162,3.0729017924274946,0.34277605286647855,8.964750503222817,3.1098409943205974e-19,1.905034667883865e-18,True
CXCL11,728.4096835862514,2.456905282270971,0.27424146592475573,8.958912445957672,3.2789636862989257e-19,2.0056889210268317e-18,True
AC108075.1,3.8912049726501077,-4.208119389782381,0.4698019980479814,-8.957219014110283,3.3296989507591613e-19,2.035602755432947e-18,True
SOD3,3218.1657516758964,-1.7080801727337525,0.19073514139247127,-8.95524631834401,3.389779580514525e-19,2.0711938298017386e-18,True
AP000331.1,24.69763756072995,-1.5240116802721289,0.1702334605815675,-8.952480170852766,3.4758333827930324e-19,2.123384639728244e-18,True
RPL19P5,7.1330328160758585,1.9880925652175343,0.2222716667418669,8.94442640557686,3.7388640700519534e-19,2.28031049510173e-18,True
AC108515.1,5.14926537584389,4.694110778662199,0.5249301933661157,8.94235240796725,3.809724380957937e-19,2.323102914254274e-18,True
LRRC31,324.63230166019997,2.911590228899545,0.32563299089592107,8.941324467428267,3.845335178423329e-19,2.3439605714721185e-18,True
AL138789.1,2.0589004066519054,2.8358454616244684,0.31716474340190864,8.941238017842693,3.8483449869013515e-19,2.3453665381610593e-18,True
AC114971.1,3.92879552355473,-3.1644599316669866,0.3540210102457597,-8.938621833405406,3.9405386426627417e-19,2.400237866559996e-18,True
