gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
AC015712.6,147.24330557972252,-2.0283774836576436,0.13366649657352306,-15.174913203039905,5.184627999899907e-52,1.1853573606283762e-50,True
MLIP,17.409950187574633,-2.021546841865902,0.1332295388838831,-15.173413184502515,5.3045112228454636e-52,1.2114935888860748e-50,True
RIMS4,1668.17868444337,3.0199772377790137,0.19908771724262878,15.169078633306938,5.666668918083566e-52,1.2935278692873398e-50,True
PKDCC,825.3643967897226,-1.823247058067216,0.12023515319756817,-15.164009938684824,6.121501391886469e-52,1.3958883032488733e-50,True
ANGPTL4,1448.4318661551251,-2.1486333562947366,0.1417040530084698,-15.162822168299666,6.2332365775944325e-52,1.4206231490013783e-50,True
XDH,487.98991635620473,-2.142761938065764,0.14135014139407473,-15.159248635570071,6.581797381978839e-52,1.4984948840738535e-50,True
TEDC2,308.2188616535712,1.5509980636826972,0.10232101855686368,15.158156999978932,6.692095448627425e-52,1.5228102821442783e-50,True
LINC02635,48.34759210687789,-2.0433202336263547,0.13480724079356643,-15.157347792284689,6.77504322487817e-52,1.540075230402985e-50,True
AC018816.1,227.21307389575276,3.0164020244369483,0.19906159057579897,15.153109224696754,7.226533785275966e-52,1.6384283448273336e-50,True
C20orf204,121.71765158684974,1.8408380873427446,0.12152473396371552,15.147847086769811,7.828945043174231e-52,1.7740854069464731e-50,True
ME1,1301.1577347335228,-2.036938102981838,0.13448226534297691,-15.146518373905524,7.988803480437647e-52,1.8093683886937106e-50,True
MARCHF4,29.1816262683792,2.9848372485747445,0.19710268459716676,15.14356465856909,8.355905227219722e-52,1.8905452725888863e-50,True
SOGA3,4.794314458440067,-1.5790697431979601,0.10428555193890211,-15.141788232785032,8.584726651180476e-52,1.9413077187144794e-50,True
MYEOV,379.4588091199142,-2.748190461169347,0.18155233666465093,-15.137180339604146,9.207768619580451e-52,2.0789594179406463e-50,True
HOXA6,34.50157184978257,-2.1664040946136747,0.1432124961429659,-15.127200160319815,1.0715844161377176e-51,2.4169503222223306e-50,True
GPR139,99.0879064717703,4.5000059259066445,0.2976525048147093,15.11832036726158,1.2263072919778868e-51,2.7616338710341125e-50,True
KCNA4,5.834109256143645,-3.697904398278456,0.244865101283783,-15.101802498155184,1.5756647811657757e-51,3.5410564578692506e-50,True
FAM189A2,1411.9623817929032,-1.7853484962176096,0.11823930485341756,-15.099450207618556,1.6328921440903845e-51,3.665880759381048e-50,True
PYDC1,379.60897465132183,4.136629628049429,0.2739608291859751,15.099347013734313,1.6354495248649873e-51,3.669729549840091e-50,True
IRX1,495.05833916973353,-2.2919223935571362,0.15183139198117643,-15.0951813300986,1.742083281053428e-51,3.906987496524306e-50,True
NBPF4,147.0654199259759,3.3848357563633478,0.2242528630731368,15.09383519112277,1.778000477111275e-51,3.9854860334258963e-50,True
H2AC13,110.2748011597759,3.089030505900117,0.20476084747132342,15.086040832746276,2.0009416140326027e-51,4.478302796938469e-50,True
SBK2,26.313100639579467,3.5341184272128787,0.23430047724699887,15.083701359631553,2.0731356760811957e-51,4.632734554183292e-50,True
KRT14,12592.757125012395,-2.909632905336814,0.19298594846791603,-15.076915850277782,2.297533005459873e-51,5.126289557184712e-50,True
AL139300.2,3.409063433812158,-1.666281267910006,0.11054390436691888,-15.073479423879059,2.4202400684613476e-51,5.394545336415305e-50,True
AC026469.1,5.301090083122172,-1.83840173197536,0.12201137471086068,-15.067461835685041,2.6510359249090145e-51,5.902928125177203e-50,True
FTMT,1.3068701412285775,-4.0534998289822015,0.2691076528233212,-15.062744542770282,2.847175385176734e-51,6.333183019526235e-50,True
AC114488.1,11.050683899036596,-2.085988694239958,0.13850879362037263,-15.060334002744062,2.9529141149326636e-51,6.565030865022153e-50,True
PADI2,3457.4535849160757,-1.9696901794284443,0.1307993920398715,-15.05886341450291,3.0193325456061305e-51,6.709268251290478e-50,True
LEF1-AS1,24.42069888600128,1.528389031616796,0.101531731353837,15.05331398605207,3.283644336426851e-51,7.2854394296125e-50,True
