gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
LRRC46,314.95718117444295,2.1009502469159576,0.11875796963993568,17.691025312118963,4.9172496141825355e-70,1.0613938989215106e-68,True
CHRNA7,18.333605930268295,-2.1544142066531733,0.12180199959606489,-17.687839393424678,5.20326033020224e-70,1.1224031613966009e-68,True
AC010457.1,16.298007168754374,-2.9514785085864745,0.16690156239845869,-17.683947748434804,5.575217288639924e-70,1.2018611593978852e-68,True
TRIM2,2305.374210846239,-2.0680390650697094,0.11699620097114326,-17.676121514234335,6.405386360752702e-70,1.3799304247076346e-68,True
LINC00920,94.10707793276812,-2.101735894513063,0.11891872841444893,-17.67371651661301,6.68444111591916e-70,1.4391183135880444e-68,True
ANTXR2,3838.366038175732,-1.8609794428724273,0.10530553353844688,-17.67219043805506,6.867765004819534e-70,1.4766801750208035e-68,True
MYZAP,405.4969428631809,-2.9447447444365444,0.16668454318404585,-17.66657356576299,7.58673457427835e-70,1.6291694225216273e-68,True
CDH20,52.601417086541616,-3.501619381063225,0.19823104087560223,-17.664334332283655,7.89385260654695e-70,1.6940288968837469e-68,True
CYP1B1-AS1,57.68689630177944,-1.7315848759339383,0.09805668365066528,-17.659019369886575,8.67334462680555e-70,1.860111703918574e-68,True
REM1,74.18940662847689,-1.7378894000616527,0.09841753378164915,-17.658331125400522,8.779739181110764e-70,1.880510738284283e-68,True
TF,2156.22819647834,-3.9217673329505662,0.22212558364121715,-17.65563096633256,9.209866140977008e-70,1.971372438610027e-68,True
KCNJ3,4489.846026471006,5.143110831275548,0.2914692246463382,17.645467844902242,1.1025735717495091e-69,2.3540157518741596e-68,True
AP001172.1,3.6309866306655585,-3.9803309742559794,0.22559737988739406,-17.64351596744051,1.1413329878558856e-69,2.435208817146892e-68,True
CLCN4,376.58712829683844,-2.2632489814217553,0.12828074992046604,-17.642935380600502,1.1531219353068294e-69,2.458789221262625e-68,True
DCDC2C,3.4113705297155623,-3.958452225999756,0.22441430466751425,-17.639037011764845,1.2354850512887492e-69,2.632727857854856e-68,True
KRT9,9.041502641872198,-3.522575377546154,0.19972646178834882,-17.636998853356975,1.2808546433305827e-69,2.7276642082012517e-68,True
LINC00844,17.739170033734336,-3.625885950201996,0.20565859837735342,-17.630607126617804,1.4341870466934402e-69,3.0502999885318583e-68,True
RHOXF1P3,318.5024315291444,4.9729753781175345,0.28212624957891297,17.626773068936124,1.5348055528639848e-69,3.260142062577136e-68,True
TEX19,20.19713739082479,4.981321567718055,0.28260038498833195,17.626733126792185,1.5358899719342927e-69,3.2603688525803134e-68,True
FGF13-AS1,21.98600983261451,-3.298920773441285,0.18722481864593518,-17.620103986747313,1.7268723463537546e-69,3.6611230692022482e-68,True
OLAH,8.04204684657969,-3.0291509998831767,0.1719809697211503,-17.613291777541654,1.9478082171540605e-69,4.124282935483858e-68,True
ODF3L1,35.42611151039343,-2.5193351315131522,0.1430668982647679,-17.609490120144525,2.0831303064394514e-69,4.405219568132484e-68,True
SMIM10L2B,118.48631861319049,-2.1417961767192852,0.12166901814432718,-17.60346396630428,2.3170878319234055e-69,4.890668487773016e-68,True
TMEM145,285.77498327044316,3.516674891613764,0.19981348404228816,17.599787664327504,2.4724945458446524e-69,5.215383972762385e-68,True
NATD1,1757.5997695718297,-1.756292596846919,0.09979401347381302,-17.599177903670427,2.499256973496541e-69,5.268503211702664e-68,True
PRDM16,115.45789008097245,-2.1668267381900055,0.12314185878451091,-17.59618345522777,2.634933394693418e-69,5.551004029035426e-68,True
AL590434.1,9.570279622927886,-3.468075679082942,0.197128034412747,-17.593011006346664,2.7866914346678197e-69,5.867005849415222e-68,True
GPRC5A,20443.7162274031,2.244788226608112,0.12768431514275702,17.580767254759007,3.4586428901971545e-69,7.277115567519552e-68,True
CLIP4,1560.3221463740372,-2.185826226229758,0.12434871236422723,-17.578197511424968,3.6189947323054606e-69,7.609700840331325e-68,True
MYOM2,229.5000935508029,-2.8010653203803306,0.1593624260674121,-17.576698532409694,3.7159309909020216e-69,7.808606339986863e-68,True
